"ranking","username","name","profile_image","ENS","twitter_id","followers","verified","address","last_updated"
38,"SoyBienMamon","soybienmamon.eth","https://pbs.twimg.com/profile_images/1536098845553197057/tRieNBfU_normal.png","soybienmamon.eth","129129722",468488,true,"0x4b7bad6b57ec60ee861c07abfcb51d32e6d98395","10/08/2022"
39,"Arabic_NFT","nft🇸🇦.eth NFT’s بالعربية","https://pbs.twimg.com/profile_images/1544312007192711168/P1jH5eL5_normal.jpg","nft🇸🇦.eth","632146965",446975,false,"0x056bae9230c0a88d01524893f7a60dbcefb4dcc1","10/08/2022"
40,"takashixau","takashix.eth 🇭🇲⚡️","https://pbs.twimg.com/profile_images/1521264583914434560/mZ51NW3l_normal.jpg","takashix.eth","185174939",446560,false,"0x221d7c5066e1a7ead498d5eee9f9970a4ab1ddc9","10/08/2022"
41,"Ericthomasbtc","ETinspires.eth","https://pbs.twimg.com/profile_images/1486331326362001415/Qb_ncr0T_normal.jpg","etinspires.eth","119068103",423735,true,"0x513fba701f3001269cd390d886ed3860293fe09b","10/08/2022"
42,"TeufeurSoff","teufzer.eth","https://pbs.twimg.com/profile_images/1557183702144352256/WELN_iB__normal.png","teufzer.eth","2798855717",410803,true,"0x5d5c5199f1cbfc96eb1a89b85de5ed7b82320770","10/08/2022"
43,"UnknownxEth","Unknown.Eth","https://pbs.twimg.com/profile_images/1538246357525442562/SajdHg_0_normal.jpg","unknown.eth","1013896146857680896",394273,false,"0xb697b9455eeee9574ec5c5350cb10c8a5b752a39","10/08/2022"
44,"highsnobiety","highsnobiety.eth","https://pbs.twimg.com/profile_images/1269978387302539266/7X3FpHl4_normal.jpg","highsnobiety.eth","11319582",370103,true,"0x54beefe2ed7c3d1a7e226680393e813f25d1333a","10/08/2022"
45,"bizzleosikoya","Bizzleosikoya.eth","https://pbs.twimg.com/profile_images/1488638459610902532/rrXc_SX5_normal.jpg","bizzleosikoya.eth","24538648",365017,true,"0x1c0b4521661b5084bf9ffc3529b4fb851c02b881","10/08/2022"
46,"colton","coltonunderwood.eth","https://pbs.twimg.com/profile_images/1514433781582626819/ZolB5wTh_normal.jpg","coltonunderwood.eth","260265287",352857,true,"0xd1866bce0de3c5fcbe921d03256d86716982edc8","10/08/2022"
47,"ryanfoland","RyanFoland.eth","https://pbs.twimg.com/profile_images/1497331575989571586/w76gqaCB_normal.jpg","ryanfoland.eth","15518172",332613,true,"0xe879a2924ddf1fd27188c77db03c0d0f2b134506","10/08/2022"
48,"DonDiablo","Don-Diablo.ETH","https://pbs.twimg.com/profile_images/1529226600495063043/bGAPts2S_normal.jpg","don-diablo.eth","18645813",332512,true,"0x45fa9ab78ae37fbb282f8069b49765ecaa04c0e7","10/08/2022"
49,"alrawenet","Ghanem Alrawenet.eth","https://pbs.twimg.com/profile_images/1464308161201020929/xK_w4P20_normal.jpg","alrawenet.eth","2824164782",321347,true,"0xe0e6fc8dbed0ab87a3f57b25f146ab918ae60674","10/08/2022"
50,"ThreexPiggy","3xpiggy.eth 🐽 | 🧧 $3.50 OF | 65% Discount 🧧","https://pbs.twimg.com/profile_images/1545176054112862209/WdoPBIjK_normal.jpg","3xpiggy.eth","1389293561305239554",313153,false,"0x1c651f8539dcb71a382a48a4286ca631accc1fa9","10/08/2022"
51,"0xD0N0","8232.ETH","https://pbs.twimg.com/profile_images/1562271950948339712/ARTN3fpz_normal.jpg","8232.eth","976112469235191813",308487,false,"0x27ce8a214e1ac740f359d0ac2844ca4bfdcec5f6","10/08/2022"
52,"CryptoWendyO","WendyO.eth✨","https://pbs.twimg.com/profile_images/1558666143648210944/YpbjdhuQ_normal.jpg","wendyo.eth","935742315389444096",308174,true,"0xe0ae80592e0be32f899a448fa927929530fcf2c5","10/08/2022"
53,"Kate_Chastain","KateChastain.eth","https://pbs.twimg.com/profile_images/1469497473806880775/jbpsX4Mn_normal.jpg","katechastain.eth","2571921656",290955,true,"0x7aea819df59d335c868fc2e567669c33ad0ed0cd","10/08/2022"
54,"gmoneyNFT","gmoney.eth","https://pbs.twimg.com/profile_images/1555136015181955074/-xx10XTb_normal.jpg","gmoney.eth","1311393885806100481",289183,true,"0xf0d6999725115e3ead3d927eb3329d63afaec09b","10/08/2022"
55,"hnshah","hiten.eth","https://pbs.twimg.com/profile_images/1498191257218076672/rvtMDI8Q_normal.jpg","hiten.eth","3382",272016,true,"0x3686a4b272c646ef6fbe34377337d95db7356e63","10/08/2022"
56,"djsamhouse","djsamhouse.eth","https://pbs.twimg.com/profile_images/1554104903894634497/mNcrLH4U_normal.png","djsamhouse.eth","16540406",266360,false,"0x06d689952471c4971ba71aaf7280c7cb894f1b4f","10/08/2022"
57,"ColumbusShort1","ColumbusShort.eth","https://pbs.twimg.com/profile_images/1545793624574636034/08Ak4sGI_normal.jpg","columbusshort.eth","517849490",264663,true,"0xb019dc60968c82b38eea3fa270923a0d431c4bb9","10/08/2022"
58,"LilMangoCrypto","LilMango.eth 🥭 | Tropical Gains 🔥","https://pbs.twimg.com/profile_images/1512394333122613257/kcqtNxdG_normal.jpg","lilmango.eth","1176799595302514689",254442,false,"0x8f7c3a31356ad42696eae4f8fdf50060edfe2a4a","10/08/2022"
59,"Sharpp","Sharpp.eth","https://pbs.twimg.com/profile_images/1578108732881440790/gxJsKI6z_normal.png","sharpp.eth","928761938",253148,true,"0xeac937f5130f5ea50fd394bf5e54e6d16cda8495","10/08/2022"
